Ns,N,Ms,qimp,himp,EInt,EImp,E,file
6,4,10,1,0.5,4.356813218294145,-3.2416835370175194,1.1151296812766263,wf/hspqp1h50Ns6N4Ms10.h5
6,4,10,1,0.2,4.362167953788927,-3.872766376972522,0.48940157681640556,wf/hspqp1h20Ns6N4Ms10.h5
6,4,10,1,0.1,4.363786709262749,-4.141802449801359,0.22198425946138936,wf/hspqp1h10Ns6N4Ms10.h5
6,4,10,1,0.0,4.36494428433851,-4.4504948343858945,-0.08555055004738506,wf/hspqp1h0Ns6N4Ms10.h5
6,4,11,0,0,4.386518243661099,0,4.386518243661099,wf/rNoImpNs6N4Ms11.h5
6,4,11,1,10.0,4.386520025260233,-0.5512434835616973,3.8352765416985353,wf/hspqp1h1000Ns6N4Ms11.h5
6,4,11,1,5.0,4.386565437517669,-0.9768275252250079,3.409737912292661,wf/hspqp1h500Ns6N4Ms11.h5
6,4,11,1,2.0,4.3879950006389175,-1.823522869795677,2.564472130843241,wf/hspqp1h200Ns6N4Ms11.h5
6,4,11,1,1.0,4.394972879952679,-2.579557216103355,1.8154156638493242,wf/hspqp1h100Ns6N4Ms11.h5
6,4,11,1,0.5,4.408852624282519,-3.2734249508993676,1.135427673383151,wf/hspqp1h50Ns6N4Ms11.h5
6,4,11,1,0.2,4.423386178158771,-3.9132010126962684,0.5101851654625029,wf/hspqp1h20Ns6N4Ms11.h5
6,4,11,1,0.1,4.428198968908438,-4.185840878618547,0.2423580902898926,wf/hspqp1h10Ns6N4Ms11.h5
6,4,11,1,0.0,4.43172256150192,-4.497953556930675,-0.06623099542875337,wf/hspqp1h0Ns6N4Ms11.h5
6,4,8,0,0,4.386518243661102,0,4.386518243661102,wf/rNoImpNs6N4Ms8.h5
5,3,6,-1,10.0,2.066139415341815,0.37093352907051325,2.4370729444123285,wf/hspqm1h1000Ns5N3Ms6.h5
5,3,6,-1,5.0,2.0661943316356552,0.6570414833088969,2.723235814944552,wf/hspqm1h500Ns5N3Ms6.h5
5,3,6,-1,2.0,2.0680707285529802,1.2099946620761952,3.2780653906291746,wf/hspqm1h200Ns5N3Ms6.h5
5,3,6,-1,1.0,2.0752127558989777,1.653423852477637,3.7286366083766147,wf/hspqm1h100Ns5N3Ms6.h5
5,3,6,-1,0.5,2.084632260216776,1.9935059548461846,4.07813821506296,wf/hspqm1h50Ns5N3Ms6.h5
